Année;Collectivité;Type de contrat;Emplois;Niveau;Spécialité
2014;COMMUNE;TEMPS COMPLET;EBOUEURS;EBOUEUR NON TITULAIRE;
2014;COMMUNE;TEMPS COMPLET;PERSONNELS DE MAITRISE  D'ADMINISTRATIONS PARISIENNES;AGENT DE MAITRISE;tapissier
2014;COMMUNE;TEMPS COMPLET;TECHNICIENS SUPERIEURS D'ADMINISTRATIONS PARISIENNES;TECHNICIEN SUPERIEUR PRINCIPAL;informatique
2014;COMMUNE;TEMPS COMPLET;TECHNICIENS SUPERIEURS D'ADMINISTRATIONS PARISIENNES;TECHNICIEN SUPERIEUR PRINCIPAL;prévention des risques professionnels
2014;COMMUNE;TEMPS COMPLET;AGENTS D'ACCUEIL ET DE SURVEILLANCE;AGENT D ACCUEIL ET DE SURVEILLANCE DE 2EME CLASSE;accueil et surveillance
2014;COMMUNE;TEMPS INCOMPLET;ADJOINTS ADMINISTRATIFS;ADJOINT ADMINISTRATIF CONTRACTUEL TEMPS NON COMPLET;
2014;COMMUNE;TEMPS INCOMPLET;AGENTS DE MENAGE CONTRACTUELS;AGENT DE MENAGE CONTRACTUEL;
2014;COMMUNE;TEMPS INCOMPLET;AGENTS TECHNIQUES DES ECOLES;AGENT TECHNIQUE DES ECOLES DE 2EME CLASSE;
2014;DEPARTEMENT;TEMPS COMPLET;ASSISTANTS SOCIO-EDUCATIFS;ASSISTANT SOCIO-EDUCATIF;éducation spécialisée
2014;DEPARTEMENT;TEMPS COMPLET;PERSONNELS PARAM.EDICAUX  MEDICO-TECHNIQUES D'ADMINISTRATIONS PARISIENNES;;psychomotricien
2014;DEPARTEMENT;TEMPS COMPLET;AGENT EDUCATIF TITRE IV;AGENT EDUCATIF TITRE IV;
2014;DEPARTEMENT;TEMPS COMPLET;AIDES SOIGNANTS AGENTS SERVICE HOSPITALIER QUALIFIE TITRE IV;AIDE SOIGNANT DE CLASSE NORMALE TITRE IV;auxiliaire de puériculture titre IV
2014;DEPARTEMENT;TEMPS COMPLET;AIDES SOIGNANTS AGENTS SERVICE HOSPITALIER QUALIFIE TITRE IV;AIDE SOIGNANT DE CLASSE NORMALE TITRE IV;
2014;DEPARTEMENT;TEMPS COMPLET;CONSEILLERES ECO.SOC.FAMILIALES TITRE IV;CONSEILLER EN ECONOMIE SOCIALE ET FAMILIALE TITRE IV;
2015;COMMUNE;TEMPS COMPLET;ADJOINTS ADMINISTRATIFS;ADJOINT ADMINISTRATIF DE 2EME CLASSE;
2015;COMMUNE;TEMPS COMPLET;ADJOINTS D'ANIMATION ET D'ACTION SPORTIVE;ADJOINT  D'ANIMATION ET D'ACTION SPORTIVE DE 2EME CLASSE;activités sportives
2015;COMMUNE;TEMPS COMPLET;DELEGUES AU CINEMA;DELEGUE AU CINEMA DE LA VILLE DE PARIS;
2015;COMMUNE;TEMPS COMPLET;DIRECTEURS, DIRECTEURS GENERAUX;DIRECTEUR  DE LA COMMUNE DE PARIS;
2015;COMMUNE;TEMPS COMPLET;AGENTS CONTRACTUELS DES BIBLIOTHEQUES;AGENT CONTRACTUEL DES BIBLIOTHEQUES;
2015;COMMUNE;TEMPS COMPLET;COORDINATEURS COURS MUNICIPAUX D'ADULTES;COORDINATEUR DES COURS MUNICIPAUX D'ADULTES;
2015;COMMUNE;TEMPS COMPLET;COORDINATEURS DES CONSEILS DE QUARTIER;COORDINATEUR DES CONSEILS DE QUARTIER;
